relatedClaimNumberText,officeActionDate,createUserIdentifier,applicantCitedExaminerReferenceIndicator,kindCode,nplIndicator,workGroupNumber,patentApplicationNumber,officeActionCategory,groupArtUnitNumber,qualitySummaryText,createDateTime,techCenter,countryCode,passageLocationText,obsoleteDocumentIdentifier,id,citationCategoryCode,examinerCitedReferenceIndicator,publicationNumber,inventorNameText,citedDocumentIdentifier
"1-3,5-10,12-17,19-20",2022-01-07,ETL_SYS,False,A1,False,2490,16507736,CTFR,2494,AOK,2025-01-13 14:32:11,2400,US,"['par. 17]|c 103|fig. 5]|figs. 1|claim 7|claims 4, 11 and 18|par. 149-150, 156|c. 103|fig. 3, 5|claim 1|claims 2-3 and 5-7|par. 3|fig. 3])|claim 2|claims 15-17 and 19-20|par. 115])|claim 5|claims 1-3 and 5-6|par. 116, 119])|claim 6|claims 1-3, 5-10, 12-17 and 19-20|par. 116|claim 3|claims 8-10 and 12-14|par. 156|claims 1-3 and 5-7|par. 10, 116|claims 1-20|par. 115, 119]|claims 1, 8']",KY1SR72KDFLYX11,3a9c80a305e1806fbe96b0424b2a3dcb,X,True,20070050777,Hutchinson; Thomas W.,US 20070050777 A1
"1,4-11,14-21,24-29,31-39,41-42,44-45",2023-11-14,ETL_SYS,False,,False,2410,17453735,CTFR,2414,AOK,2025-01-13 14:32:11,2400,,"['par [0002]))|c. 103|section 102|fig. 18)|table 1)|claim 7|claims 10, 20, 28, 36|par [0237]))|c. 102|section 151|fig. 9))|claim 1|claims 14, 24|par [0153])|section 122|claim 39|claims 1, 8-9, 11, 18-19, 21, 29, 33, 37, 42|par [0161])|claim 4|claims 18-19, 33|par [0176])|claim 28|claims 8-9|par [0177]|claim 21|claims 16, 26|par [0181])|claim 8|claims 1, 4, 6-11, 14, 16-21, 24, 26-29, 31, 33-39|par [0193]))|claim 9|claims 1, 4-11, 14-21, 24-29, 31-39|par [0172]|claim 6|claims 17, 27|par [0163])|claim 38|claims 11, 21|par [0169]|claims 6, 16, 26|par [0013])|claims 5, 15, 25|par [0060])|claims 7, 17, 27|par [0069]))|claims 1, 4, 6, 11, 14, 16, 21, 24, 26, 29, 31, 34|par [0193])|claims 42-45|par [0162]))|claims 20 and 36|par [0356])|claims 4, 14, 24, 31, 38-39, 41|par [0178]|claims 1, 11, 21|par [0025])']",LOR9O9VUXBLUEX5,ef9d2e10acbc7a3bbe191465366d0883,X,False,,,
"1-2,8,29-30,35",2022-07-12,ETL_SYS,False,A1,False,2410,16764174,CTNF,2416,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|claims 1, 2, 8, 29, 30']",L5CKJ09UGREENX0,508bbe8bc6d8930cddb164c8c9590c02,X,True,20190110314,Abedini; Navid,US 20190110314 A1
8,2024-04-15,ETL_SYS,False,A1,False,2430,17703895,CTNF,2432,AOK,2025-01-13 14:32:11,2400,US,"['c. 102 and 103|section 102|fig. 4|figs. 1-7|f.3d|claim 4|claims 11 and 18|c. 103|fig 8|figs. 1, 3, 6, 8-9|claim 3|claims 1, 11|c. 102|fig. 1|figs. 1, 6|claim 1|claims 1-20|c. 101|figs. 3, 6, 8-9|claim 5|figs. 8-9|claim 9|figs. 1, 3, 6, 7, 8-9|claim 7|claim 20|claim 2|claim 8|claim 6|claim (1)']",LUVGPB94XBLUEX7,7f53f68f2ef87122c5c65dee746ba97e,X,True,20190044963,Rajasekharan; Ajaykumar,US 20190044963 A1
"1-2,5-7,9-11,14,24-25,28-40,44-45,47-49",2020-03-18,ETL_SYS,False,,False,2450,13829663,CTNF,2458,AOK,2025-01-13 14:32:11,2400,,"['c. 103|claim 1, 25 and 45|claims 4, 21, 27|claim 1|claims 5, 29, 47|claim 2|claims 1, 15, 25|claim 37|claims 18 and 39|claim 36|claims 7, 31 and 49|claim 6|claims 13 and 23|claim 3, 8, 19, 20, 26, 41|claims 1, 2, 5-7, 9-11, 14, 24, 25, 28-40, 44, 45 and 47-49|claim 5|claims 9 and 32|claims 17|claims 1-2, 4-7, 9-18, 21-25, 27-40|claims 12, 22, 34, 43|claims 28|claims 14, 24, 35, 44|claims 6, 30, 48|claims 10 and 33|claims 12, 22, 34|c. 103|claim 1|claims 12, 22, 34|claim 37|claims 4, 21, 27|claim 36|claims 5, 29, 47|claim 2|claims 1, 15, 25|claim 6|claims 18 and 39|claim 3, 8, 19, 20, 26, 41|claims 7, 31 and 49|claim 5|claims 13 and 23|claims 1, 2, 5-7, 9-11, 14, 24, 25, 28-40, 44, 45 and 47-49|claims 9 and 32|claims 17|claims 1-2, 4-7, 9-18, 21-25, 27-40|claims 14, 24, 35, 44|claims 6, 30, 48|claims 28|claims 10 and 33']",K7UHJ09URXEAPX3,9b90dccd93c8ca63175e391e71e380b0,X,False,,,
1,2024-11-26,ETL_SYS,False,A1,False,2450,17978146,CTFR,2453,AOK,2025-01-13 14:32:11,2400,US,"['paragraph 49, 75-76)|column 11|c. 103|section 102|lines 43-67)|fig. 5a|f 7:30am|claim 10|claims 1-20|paragraph 50, 97, 186, 188-189)|column 12|lines 1-5)|fig. 3)|claim 9|paragraph 190, 203)|column 2|lines 4-20)|claim 4|paragraph 222)|column 3|lines 21-34)|claim 1|paragraph 26, 220, 267)|column 4|lines 5-13)|claim 8|paragraph 50, 186, 188-189)|column 13|lines 2-11))|claim 7|paragraph 4-5)|lines 2-11)|claim 5|paragraph 76)|lines 28-36)|claim 6|paragraph 186, 188-189)|claim 2|paragraph 76, 97)|claim 3|paragraph 125-126, 203, 204, 206)|paragraph 220-221)|paragraph 221, 219-220, 222)|paragraph 222, 225)|paragraph 21|paragraph 58)|paragraph 54-55)|paragraph 188-190)|paragraph 190, 203, 267)|paragraph 183, 288, 289)|paragraph 288)|paragraph 285, 288)|paragraph 108, 113, 206)|paragraph 97)|paragraph 64)|paragraph 5)|paragraph 4-5, 39, 42)|paragraph 4-5, 39-42)|paragraph 186-190)|paragraph 340-341, 346-347)|paragraph 54-55, 56, 58)|paragraph 49, 75-76)|column 11|c. 103|section 102|lines 43-67)|fig. 5a|f 7:30am|claim 10|claims 1-20|paragraph 50, 97, 186, 188-189)|column 12|lines 1-5)|fig. 3)|claim 9|paragraph 190, 203)|column 2|lines 4-20)|claim 4|paragraph 222)|column 3|lines 21-34)|claim 1|paragraph 26, 220, 267)|column 4|lines 5-13)|claim 8|paragraph 50, 186, 188-189)|column 13|lines 2-11))|claim 7|paragraph 4-5)|lines 2-11)|claim 5|paragraph 125-126, 203, 204, 206)|lines 28-36)|claim 6|paragraph 76)|claim 2|paragraph 186, 188-189)|claim 3|paragraph 76, 97)|paragraph 220-221)|paragraph 221, 219-220, 222)|paragraph 222, 225)|paragraph 21|paragraph 58)|paragraph 54-55)|paragraph 188-190)|paragraph 190, 203, 267)|paragraph 183, 288, 289)|paragraph 288)|paragraph 285, 288)|paragraph 108, 113, 206)|paragraph 97)|paragraph 64)|paragraph 5)|paragraph 4-5, 39, 42)|paragraph 4-5, 39-42)|paragraph 186-190)|paragraph 340-341, 346-347)|paragraph 54-55, 56, 58)']",M3SZV1ADWFYGX59,fd27f7dbc13f99cbe731d5577a0ac145,X,True,20160182451,Nandagopal; Vijay,US 20160182451 A1
1-20,2024-11-26,ETL_SYS,False,,False,2450,17978146,CTFR,2453,AOK,2025-01-13 14:32:11,2400,,"['paragraph 49, 75-76)|column 11|c. 103|section 102|lines 43-67)|fig. 5a|f 7:30am|claim 10|claims 1-20|paragraph 50, 97, 186, 188-189)|column 12|lines 1-5)|fig. 3)|claim 9|paragraph 190, 203)|column 2|lines 4-20)|claim 4|paragraph 222)|column 3|lines 21-34)|claim 1|paragraph 26, 220, 267)|column 4|lines 5-13)|claim 8|paragraph 50, 186, 188-189)|column 13|lines 2-11))|claim 7|paragraph 4-5)|lines 2-11)|claim 5|paragraph 76)|lines 28-36)|claim 6|paragraph 186, 188-189)|claim 2|paragraph 76, 97)|claim 3|paragraph 125-126, 203, 204, 206)|paragraph 220-221)|paragraph 221, 219-220, 222)|paragraph 222, 225)|paragraph 21|paragraph 58)|paragraph 54-55)|paragraph 188-190)|paragraph 190, 203, 267)|paragraph 183, 288, 289)|paragraph 288)|paragraph 285, 288)|paragraph 108, 113, 206)|paragraph 97)|paragraph 64)|paragraph 5)|paragraph 4-5, 39, 42)|paragraph 4-5, 39-42)|paragraph 186-190)|paragraph 340-341, 346-347)|paragraph 54-55, 56, 58)|paragraph 49, 75-76)|column 11|c. 103|section 102|lines 43-67)|fig. 5a|f 7:30am|claim 10|claims 1-20|paragraph 50, 97, 186, 188-189)|column 12|lines 1-5)|fig. 3)|claim 9|paragraph 190, 203)|column 2|lines 4-20)|claim 4|paragraph 222)|column 3|lines 21-34)|claim 1|paragraph 26, 220, 267)|column 4|lines 5-13)|claim 8|paragraph 50, 186, 188-189)|column 13|lines 2-11))|claim 7|paragraph 4-5)|lines 2-11)|claim 5|paragraph 125-126, 203, 204, 206)|lines 28-36)|claim 6|paragraph 76)|claim 2|paragraph 186, 188-189)|claim 3|paragraph 76, 97)|paragraph 220-221)|paragraph 221, 219-220, 222)|paragraph 222, 225)|paragraph 21|paragraph 58)|paragraph 54-55)|paragraph 188-190)|paragraph 190, 203, 267)|paragraph 183, 288, 289)|paragraph 288)|paragraph 285, 288)|paragraph 108, 113, 206)|paragraph 97)|paragraph 64)|paragraph 5)|paragraph 4-5, 39, 42)|paragraph 4-5, 39-42)|paragraph 186-190)|paragraph 340-341, 346-347)|paragraph 54-55, 56, 58)']",M3SZV1ADWFYGX59,1b0d70683a467ce60222337bbb4f8a7c,X,False,,,
1-8,2020-06-01,ETL_SYS,False,A1,False,2480,15949939,CTFR,2485,AOK,2025-01-13 14:32:11,2400,US,"['para. 4-6)|p. 2111|c. 112|fig. 5|f.3d|claim 1|claims 1 and 2|p. 904|c. 103|fig. 8|claim 6|claims 1, 3 and 4|fig. 6|claim 3|claims 1-8|fig. 12)|claim 8|fig. 22)|claim 5|fig. 22|claim 4|fig. 12|claim 2|claim 7']",KAR10W5TRXEAPX4,7eda62e8858f038e062c126b3b39b4a0,X,True,20150015718,FUJIMATSU; Takeshi,US 20150015718 A1
"1-2,5",2020-06-01,ETL_SYS,False,,False,2480,15949939,CTFR,2485,AOK,2025-01-13 14:32:11,2400,,"['para. 4-6)|p. 2111|c. 112|fig. 5|f.3d|claim 1|claims 1 and 2|p. 904|c. 103|fig. 8|claim 6|claims 1, 3 and 4|fig. 6|claim 3|claims 1-8|fig. 12)|claim 8|fig. 22)|claim 5|fig. 22|claim 4|fig. 12|claim 2|claim 7']",KAR10W5TRXEAPX4,b1d09357b0ad1b84b7f09a4e3c355cd9,X,False,,,
"1-5,10,15-16",2024-11-08,ETL_SYS,False,A1,False,2420,18213374,CTNF,2425,AOK,2025-01-13 14:32:11,2400,US,"['c. 103|section 102|fig. 1, [0015], [0016])|figs. 2b|f 6a|claim 2|claims 13 and 14|c. 102 and 103|fig. 1|claim 3|claims 1-16|c. 102|fig. 2a|claim 13|claims 1-5, 10, 15 and 16|claim 1|claims 6-9, 11 and 12|claim 5|claim 4']",M3695R56WFYGX59,1c9c9e25b2e016e231265a22f799809e,X,True,20140055592,Wei; Hong,US 20140055592 A1
"1-3,5,8,10-14",2021-03-11,ETL_SYS,False,A1,False,2410,16612358,CTFR,2413,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [0050]|paragraphs [0048] and [0051]|page 6|c. 112|section 102|l1|fig. 8|claim 14|claims 1-2, 5, 10-12|c. 103|l2|fig. 2|claim 5|claims 1-8 and 10-15|c. 102|fig. 4|claim 9|claims 2 and 5|fig. 3a|claim 16|claims 6, 7 and 15|claim 6|claims 1 and 11|claim 12|claim 2|claim 11|claim 1|claim 7|claim 4|claim 3|claim 8']",KM22PN7ULDFLYX7,25fd692f06aad0f0a3aee9642bd39202,X,True,20200236666,Yu; Xiaodong,US 20200236666 A1
"1-5,9-30",2022-11-21,ETL_SYS,False,,False,2460,17000195,CTNF,2462,AOK,2025-01-13 14:32:11,2400,,,LAL649HSXBLUEX4,c3c9783547d2161fc68f06041342e02b,X,False,,,
1,2024-12-05,ETL_SYS,False,,False,2470,18443654,CTNF,2476,AOK,2025-01-13 14:32:11,2400,US,"['col. 3|lines 21-33)|f 8:00-4:30|claim 1|claims 2, 4, 6-8, 10, 12, 14-16, 18, 20|lines 20-28)|f.3d|claims 1, 3, 5, 9, 11, 13, 17, 19|lines 8-11)|f.2d|claims 1, 5, 7, 1, 5, 7, 1, 5|lines 12-19)']",M48HDZK2WFYGX52,17227146fdd8bec6c07635e2fe7d2fe8,X,True,20100093304,Miyoshi,US 20100093304
"1,3,7",2023-12-22,ETL_SYS,False,,False,2470,16622748,CTFR,2477,AOK,2025-01-13 14:32:11,2400,,,LQDXMENNREENX10,bcf99228e7a9822c634fd48059f99079,X,False,,,
"1,3,7",2023-12-22,ETL_SYS,False,A1,False,2470,16622748,CTFR,2477,AOK,2025-01-13 14:32:11,2400,US,,LQDXMENNREENX10,e92e3990112a1cc6484f7f148874a86b,X,True,20180359672,Keller; Ralf,US 20180359672 A1
1,2023-12-22,ETL_SYS,False,A1,False,2470,16622748,CTFR,2477,AOK,2025-01-13 14:32:11,2400,US,,LQDXMENNREENX10,716ab7669fb69306de0b04107072d8cc,X,True,20200037207,Centonza; Angelo,US 20200037207 A1
1-20,2024-03-14,ETL_SYS,False,A1,False,2430,17552322,CTNF,2433,AOK,2025-01-13 14:32:11,2400,US,"['c. 132|figure 1a)|fig. 1g)|claim 19|claims 4, 13|c. 112|figure 3)|claims 1-20|c. 102|figure 1f)|claims 3, 12, 20|figure 1c)|claims 2, 11|figure 1j)|claims 6, 15|figure 1h)|claims 9, 18|figure 1g)|claims 1, 10, 19|figure 1d)|claims 5, 14|claims 7, 16|claims 8, 17']",LTOUWQ0TBLUEX11,9a59735bdd60b46e2760180cdb47cedf,X,True,20200026851,DHANKHA; Sudhir R.,US 20200026851 A1
1-20,2024-03-14,ETL_SYS,False,,False,2430,17552322,CTNF,2433,AOK,2025-01-13 14:32:11,2400,,"['c. 132|figure 1a)|fig. 1g)|claim 19|claims 4, 13|c. 112|figure 3)|claims 1-20|c. 102|figure 1f)|claims 3, 12, 20|figure 1c)|claims 2, 11|figure 1j)|claims 6, 15|figure 1h)|claims 9, 18|figure 1g)|claims 1, 10, 19|figure 1d)|claims 5, 14|claims 7, 16|claims 8, 17']",LTOUWQ0TBLUEX11,768de9e7f4c28b056946c65a7e41672d,X,False,,,
"22-23,29,32,36",2023-01-31,ETL_SYS,False,,False,2430,17584487,CTNF,2434,AOK,2025-01-13 14:32:11,2400,,['paragraph: 0019|paragraphs: 0059|c. 103|lines 1|f.3d|claim 22|f.2d|claim 35|claim 28|claim 34|claim 27|claim 24|claim 41|claim 30|claim 23|claim 32|claim 25|claim 26|claim 37|claim 42|claim 33|claim 31|claim 2|claim 36|claim 39|claim 38|claim 40|paragraph: 0019|paragraphs: 0059|c. 103|lines 1|f.3d|claim 22|f.2d|claim 35|claim 28|claim 34|claim 27|claim 24|claim 41|claim 30|claim 23|claim 32|claim 25|claim 26|claim 42|claim 37|claim 33|claim 31|claim 2|claim 36|claim 39|claim 38|claim 40|paragraph: 0019|paragraphs: 0059|c. 103|lines 1|f.3d|claim 22|f.2d|claim 35|claim 28|claim 34|claim 27|claim 41|claim 24|claim 30|claim 23|claim 32|claim 25|claim 26|claim 42|claim 37|claim 33|claim 31|claim 2|claim 36|claim 39|claim 38|claim 40'],LDEN6PMZXBLUEX4,da3e71da93847bded5573ba0bb2eca39,X,False,,,
"2-3,11,16",2024-12-12,ETL_SYS,False,B1,False,2440,17988738,CTNF,2444,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [001]|column 12|c. 103|section 102|line 1)|lines 38-46)|claim 1|claims 2-3, 11, 16|column 2|c. 112|line 1|lines 25-35)|claim 4: 13|claims 13 and 19|column 10|lines 55-62)|claim 8|claims 16 and 18|claim 7|claims 1, 5, 10, 15|claim 2|claims 7, 14, 20|claim 9|claims 1-20|claim 3|claim 4|claim 6|claim 5']",M4IJZQP3WFYGX60,5f73162cb4f9f8aba99247a576aa090b,X,True,11943367,Saravanan; Dhanalakshmi,US 11943367 B1
8,2024-12-12,ETL_SYS,False,A1,False,2440,17988738,CTNF,2444,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [001]|column 12|c. 103|section 102|line 1)|lines 38-46)|claim 1|claims 2-3, 11, 16|column 2|c. 112|line 1|lines 25-35)|claim 4: 13|claims 13 and 19|column 10|lines 55-62)|claim 8|claims 16 and 18|claim 7|claims 1, 5, 10, 15|claim 2|claims 7, 14, 20|claim 9|claims 1-20|claim 3|claim 4|claim 6|claim 5']",M4IJZQP3WFYGX60,a1c02e48ba56d4d2903386fddb2ba4f0,X,True,20060230274,Surendran; Srinivasan,US 20060230274 A1
4,2024-12-12,ETL_SYS,False,B2,False,2440,17988738,CTNF,2444,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [001]|column 12|c. 103|section 102|line 1)|lines 38-46)|claim 1|claims 2-3, 11, 16|column 2|c. 112|line 1|lines 25-35)|claim 4: 13|claims 13 and 19|column 10|lines 55-62)|claim 8|claims 16 and 18|claim 7|claims 1, 5, 10, 15|claim 2|claims 7, 14, 20|claim 9|claims 1-20|claim 3|claim 4|claim 6|claim 5']",M4IJZQP3WFYGX60,e2e70056306c1627ee827a3d43bbc16a,X,True,11960769,Chen; Chia-Jung,US 11960769 B2
1-20,2023-11-16,ETL_SYS,False,,False,2490,17533309,CTNF,2499,AOK,2025-01-13 14:32:11,2400,,,LOYCTL9XGREENX4,7acd03fc8e39cf27678b6a00077373d9,X,False,,,
1,2023-11-16,ETL_SYS,False,A1,False,2490,17533309,CTNF,2499,AOK,2025-01-13 14:32:11,2400,US,,LOYCTL9XGREENX4,6e4d48f408c21f83bcd4bdfee10e9ed4,X,True,20130254660,Fujioka; Robb,US 20130254660 A1
23-35,2020-11-30,ETL_SYS,False,,False,2410,15761397,CTFR,2412,AOK,2025-01-13 14:32:11,2400,,"['c. 103|fig. 10)|claim 30|fig. 7|claim 35|fig.11 and [0094] 1110|claim 31|fig. 1a|claim 29|fig 7|claim 23|claim 34|claim 26|claim 32|claim 27,37-44|claim 28|claim 33|claim 24|claim 25|c. 103|claim 23-35|c. 103|fig. 10)|claim 30|fig. 7|claim 35|fig.11 and [0094] 1110|claim 31|fig. 1a|claim 29|fig 7|claim 23|claim 34|claim 27,37-44|claim 26|claim 32|claim 28|claim 24|claim 33|claim 25']",KHXQWGLLLDFLYX9,0ead817df71b301f9d85ea4a5a5823e0,X,False,,,
"1-3,25-26,33-35,41-42,44-45",2024-05-09,ETL_SYS,False,A1,False,2460,17624184,CTNF,2466,AOK,2025-01-13 14:32:11,2400,US,"['page 2-3|pages 116-117|c. 112|section 151|fig. 1|f 320|claim 42|claims 1, 41, 42|page 117)|c. 103|section 122|fig. 3)|claim 41|claims 4, 5, 7, 9, 11, 14|c. 102|section 102|fig. 3|claim 5|claims 1-3, 25, 26, 33-35, 41, 42, 44|claim 1|claim 7|claim 26|claim 36|claim 9|claim 35|claim 44|claim 3|claim 4|claim 25|claim 2']",LVWQFH1RXBLUEX4,a28c7dd6a9304005788f971a64cec05e,X,True,20200351668,Kundu; Lopamudra,US 20200351668 A1
"1-5,7,9,11,14,17,25-26,33-36,41-42,44-45",2024-05-09,ETL_SYS,False,,False,2460,17624184,CTNF,2466,AOK,2025-01-13 14:32:11,2400,,"['page 2-3|pages 116-117|c. 112|section 151|fig. 1|f 320|claim 42|claims 1, 41, 42|page 117)|c. 103|section 122|fig. 3)|claim 41|claims 4, 5, 7, 9, 11, 14|c. 102|section 102|fig. 3|claim 5|claims 1-3, 25, 26, 33-35, 41, 42, 44|claim 1|claim 7|claim 26|claim 36|claim 9|claim 35|claim 44|claim 3|claim 4|claim 25|claim 2']",LVWQFH1RXBLUEX4,c62b3db3058a937452676335c5be9e82,X,False,,,
1-20,2023-03-01,ETL_SYS,False,,False,2480,17895511,CTNF,2485,AOK,2025-01-13 14:32:11,2400,,"['para. [0240-243]|c. 119|fig. 2, 4, 10|claim 10|claims 1-20|para. [0053]|c. 103|claim 11|claims 1|para. [0332-340]|c. 120, 121, 365|claim 1|para. [0257]|claim 3|para. [0235-236, 323]|claim 20|para. [0055]|claim 4|para. [0133, 135, 280-281]|claim 8|para. [0056]|claim 5|para. [0055, 56, 58]|claim 9|para [0067]|claim 7|para. [0279]|claim 6|claim 2']",LEN1MN49GREENX3,79e24187ff249a09a0f628faebd931b6,X,False,,,
16-17,2023-05-23,ETL_SYS,False,,False,2490,17381337,CTNF,2494,AOK,2025-01-13 14:32:11,2400,,"['col 5|c. 103|lines 37-39|figs. 3-5|claim 1|claims 1-20|col 3|c. 102|lines 30-35|claim 8|claims 13, 16 and 19|col 20|lines 17-20|claim 9|claims 4-6|col 15|lines 56-61|claim 4|claims 14, 17 and 20|claim 5|claims 3 and 7|claim 3|claims 8-9 and 11-12|claim 2|claims 1, 2, 15 and 18|claim 6|claim 7']",LHULV691XBLUEX3,b8184202614d9c4f0e9950d38a10cdf3,X,False,,,
"3-6,19",2024-10-30,ETL_SYS,False,A1,False,2450,18509830,CTFR,2453,AOK,2025-01-13 14:32:11,2400,US,"['page 11-13|c. 103|section 102|fig. 5|f: 9:00am|claim 19|claims 8-11|fig. 1a|claim 15|claims 1-2, 7, 13 and 15-16|fig. 1|claim 1|claims 1-20|claim 20|claims 12 and 14|claim 7|claims 1 and 16-17|claim 8|claim 2|claim 5|claim 4|claim 3|claim 9|claim 6']",M2TCURGGWFYGX62,79ffe11e17303476800adf6e512ea513,X,True,20150113299,Schoening; Charles B.,US 20150113299 A1
1,2024-10-30,ETL_SYS,False,A1,False,2450,18509830,CTFR,2453,AOK,2025-01-13 14:32:11,2400,US,"['page 11-13|c. 103|section 102|fig. 5|f: 9:00am|claim 19|claims 8-11|fig. 1a|claim 15|claims 1-2, 7, 13 and 15-16|fig. 1|claim 1|claims 1-20|claim 20|claims 12 and 14|claim 7|claims 1 and 16-17|claim 8|claim 2|claim 5|claim 4|claim 3|claim 9|claim 6']",M2TCURGGWFYGX62,ad4ff482a3378ca86b8b167adee26b53,X,True,20150301543,JANOSO; Radovan,US 20150301543 A1
17-18,2024-10-30,ETL_SYS,False,B2,False,2450,18509830,CTFR,2453,AOK,2025-01-13 14:32:11,2400,US,"['page 11-13|c. 103|section 102|fig. 5|f: 9:00am|claim 19|claims 8-11|fig. 1a|claim 15|claims 1-2, 7, 13 and 15-16|fig. 1|claim 1|claims 1-20|claim 20|claims 12 and 14|claim 7|claims 1 and 16-17|claim 8|claim 2|claim 5|claim 4|claim 3|claim 9|claim 6']",M2TCURGGWFYGX62,37d6688f67dd9108d363767f43863eb3,X,True,9400543,Itou; Akito,US 9400543 B2
"12,14",2024-10-30,ETL_SYS,False,A1,False,2450,18509830,CTFR,2453,AOK,2025-01-13 14:32:11,2400,US,"['page 11-13|c. 103|section 102|fig. 5|f: 9:00am|claim 19|claims 8-11|fig. 1a|claim 15|claims 1-2, 7, 13 and 15-16|fig. 1|claim 1|claims 1-20|claim 20|claims 12 and 14|claim 7|claims 1 and 16-17|claim 8|claim 2|claim 5|claim 4|claim 3|claim 9|claim 6']",M2TCURGGWFYGX62,dd2601102145a78e64c2d1c74da1240f,X,True,20160285640,Kapur; Ashish,US 20160285640 A1
12-17,2020-08-27,ETL_SYS,False,,True,2480,16590602,CTNF,2488,#6: NPL was used in the rejection,2025-01-13 14:32:11,2400,,['page 4|col 9|c. 103|line 55-56)|claim 7|claims 5 and 16|c. 102|claim 1|claims 6 and 17|claim 9|claim 3|claim 4|claim 6|claim 2|claim 8|claim 5|page 4|col 9|c. 103|line 55-56)|claim 7|claims 5 and 16|c. 102|claim 1|claims 6 and 17|claim 9|claim 3|claim 4|claim 2|claim 8|claim 6|claim 5|page 4|col 9|c. 103|line 55-56)|claim 7|claims 5 and 16|c. 102|claim 1|claims 6 and 17|claim 9|claim 4|claim 3|claim 6|claim 2|claim 8|claim 5'],KEA92NRQRXEAPX1,a3cf66ac3946da5d98642c70e9e2bb97,X,False,,,
28-47,2022-12-29,ETL_SYS,False,,False,2410,16768595,CTFR,2414,AOK,2025-01-13 14:32:11,2400,,"['paragraph [0002-0004 and 0021])|c. 103|section 102|figure 1-3|claim 31 and 41|claims 28 and 38|paragraph [0009-0017])|c. 102|claim 28 and 38|claims 35 and 45|paragraph [0002-0013])|claim 34 and 44|claims 28, 33-38 and 43-47|paragraph [0021-0026])|claim 30 and 40|claims 34 and 44|paragraph [0008-0009, 0060-0063, 0087]|claim 28|claims 29-32 and 39-42|paragraph [0008-00020 and 0068])|claim 29 and 39|claims 37 and 47|paragraph [0001-0008])|claim 5|claims 28-47|paragraph [0001-0013])|claim 38|claims 36 and 46|paragraph [0006-0012])|claim 32 and 42|claims 33 and 43|claim 37 and 47|claim 35 and 45|claim 33 and 43|claim 36 and 46|paragraph [0002-0004 and 0021])|c. 103|section 102|figure 1-3|claim 31 and 41|claims 28 and 38|paragraph [0009-0017])|c. 102|claim 28 and 38|claims 35 and 45|paragraph [0002-0013])|claim 34 and 44|claims 28, 33-38 and 43-47|paragraph [0021-0026])|claim 30 and 40|claims 34 and 44|paragraph [0008-0009, 0060-0063, 0087]|claim 28|claims 29-32 and 39-42|paragraph [0008-00020 and 0068])|claim 29 and 39|claims 37 and 47|paragraph [0001-0008])|claim 5|claims 28-47|paragraph [0001-0013])|claim 38|claims 36 and 46|paragraph [0006-0012])|claim 32 and 42|claims 33 and 43|claim 37 and 47|claim 33 and 43|claim 35 and 45|claim 36 and 46']",LC6BYS9FXBLUEX4,f91af125d0ebed6fd4097369ae003f99,X,False,,,
"33,43",2022-12-29,ETL_SYS,False,A1,False,2410,16768595,CTFR,2414,AOK,2025-01-13 14:32:11,2400,US,"['paragraph [0002-0004 and 0021])|c. 103|section 102|figure 1-3|claim 31 and 41|claims 28 and 38|paragraph [0009-0017])|c. 102|claim 28 and 38|claims 35 and 45|paragraph [0002-0013])|claim 34 and 44|claims 28, 33-38 and 43-47|paragraph [0021-0026])|claim 30 and 40|claims 34 and 44|paragraph [0008-0009, 0060-0063, 0087]|claim 28|claims 29-32 and 39-42|paragraph [0008-00020 and 0068])|claim 29 and 39|claims 37 and 47|paragraph [0001-0008])|claim 5|claims 28-47|paragraph [0001-0013])|claim 38|claims 36 and 46|paragraph [0006-0012])|claim 32 and 42|claims 33 and 43|claim 37 and 47|claim 35 and 45|claim 33 and 43|claim 36 and 46|paragraph [0002-0004 and 0021])|c. 103|section 102|figure 1-3|claim 31 and 41|claims 28 and 38|paragraph [0009-0017])|c. 102|claim 28 and 38|claims 35 and 45|paragraph [0002-0013])|claim 34 and 44|claims 28, 33-38 and 43-47|paragraph [0021-0026])|claim 30 and 40|claims 34 and 44|paragraph [0008-0009, 0060-0063, 0087]|claim 28|claims 29-32 and 39-42|paragraph [0008-00020 and 0068])|claim 29 and 39|claims 37 and 47|paragraph [0001-0008])|claim 5|claims 28-47|paragraph [0001-0013])|claim 38|claims 36 and 46|paragraph [0006-0012])|claim 32 and 42|claims 33 and 43|claim 37 and 47|claim 33 and 43|claim 35 and 45|claim 36 and 46']",LC6BYS9FXBLUEX4,327080354bbf533f0abb9bb77569e213,X,True,20170353849,LIM; Han-Na,US 20170353849 A1
